AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors
Dimapur-I,1,GEN,Dimapur,Tovihoto Ayemi,Naga Peoples Front,"19,834"
Dimapur-Ii,2,ST,Dimapur,S.I Jamir,Indian National Congress,"46,283"
Dimapur-Iii,3,ST,Dimapur,Tokheho,Indian National Congress,"27,611"
Ghaspani-I,4,ST,Dimapur,N.Jacob Zhimomi,Independent,"58,269"
Ghaspani-Ii,5,ST,Dimapur,Zhaleo Rio,Naga Peoples Front,"30,240"
Tenning,6,ST,Peren,Namri Nchang,Naga Peoples Front,"28,997"
Peren,7,ST,Peren,T.R.Zeliang,Naga Peoples Front,"28,032"
Western Angami,8,ST,Kohima,Kiyanilie Peseyie,Naga Peoples Front,"16,274"
Kohima Town,9,ST,Kohima,Dr. Neikiesalie Nicky Kire,Naga Peoples Front,"29,933"
Northern Angami-I,10,ST,Kohima,Khriehu Liezietsu,Naga Peoples Front,"16,411"
Northern Angami-Ii,11,ST,Kohima,Neiphiu Rio,Naga Peoples Front,"19,044"
Tseminyu,12,ST,Kohima,Er. Levi Rengma,Independent,"25,433"
Pughoboto,13,ST,Kohima,Y. Vikheho Swu,Naga Peoples Front,"12,797"
Southern Angami-I,14,ST,Kohima,Vikho-O Yhoshu,Naga Peoples Front,"13,367"
Southern Angami-Ii,15,ST,Kohima,Kropol Vitsu,Naga Peoples Front,"17,046"
Pfutsero,16,ST,Phek,Neiba Kronu,Naga Peoples Front,"21,932"
Chizami,17,ST,Phek,Deo Nukhu,Naga Peoples Front,"17,462"
Chazouba,18,ST,Phek,Chotisuh Sazo,Naga Peoples Front,"25,682"
Phek,19,ST,Phek,Kuzholuzo Nienu,Naga Peoples Front,"22,226"
Meluri,20,ST,Phek,Yitachu,Naga Peoples Front,"19,464"
Tuli,21,ST,Mokokchung,Amenba Yaden,Independent,"17,633"
Arkakong,22,ST,Mokokchung,Nuklutoshi,Naga Peoples Front,"16,547"
Impur,23,ST,Mokokchung,Dr. Imtiwapang Aier,Indian National Congress,"9,970"
Angetyongpang,24,ST,Mokokchung,S.Chuba Longkumer,Independent,"14,753"
Monguya,25,ST,Mokokchung,Merentoshi R.Jamir,Naga Peoples Front,"14,690"
Aonglenden,26,ST,Mokokchung,Imtikumzuk,Indian National Congress,"11,888"
Mokokchung Town,27,ST,Mokokchung,C.Apok Jamir,Indian National Congress,"5,788"
Koridang,28,ST,Mokokchung,Imkong L.Imchen,Naga Peoples Front,"18,703"
Jangpetkong,29,ST,Mokokchung,Longrineken,Naga Peoples Front,"10,494"
Alungtaki,30,ST,Mokokchung,Dr. Benjongliba,Naga Peoples Front,"13,712"
Akuluto,31,ST,Zunheboto,Khekaho,Indian National Congress,"10,689"
Atoizu,32,ST,Zunheboto,Picto,Independent,"15,997"
Suruhuto+A2,33,ST,Zunheboto,Shetoyi,Naga Peoples Front,"14,213"
Aghunato,34,ST,Zunheboto,Pukhayi,Naga Peoples Front,"14,710"
Zunheboto,35,ST,Zunheboto,S. Hukavi Zhimomi,Indian National Congress,"21,421"
Satakha,36,ST,Zunheboto,G. Kaito,Naga Peoples Front,"15,797"
Tyui,37,ST,Wokha,Y.Patton,Naga Peoples Front,"20,944"
Wokha,38,ST,Wokha,Dr. T.M. Lotha,Nationalist Congress Party,"33,962"
Sanis,39,ST,Wokha,N.Thomas Lotha,Independent,"22,104"
Bhandari,40,ST,Wokha,Mmhonlumo,Nationalist Congress Party,"25,044"
Tizit,41,ST,Mon,P. Paiwang Konyak,Bharatiya Janta Party,"18,432"
Wakching,42,ST,Mon,Y.M. Yolow,Independent,"19,149"
Tapi,43,ST,Mon,Noke,Naga Peoples Front,"14,685"
Phomching,44,ST,Mon,Pohwang,Naga Peoples Front,"19,395"
Tehok,45,ST,Mon,C.L. John,Naga Peoples Front,"15,435"
Mon Town,46,ST,Mon,N. Thongwang,Naga Peoples Front,"19,811"
Aboi,47,ST,Mon,Eshak Konyak,Indian National Congress,"11,214"
Moka,48,ST,Mon,E.E. Pangteang,Naga Peoples Front,"17,062"
Tamlu,49,ST,Longleng,B.S Nganlang,Janata Dal (United),"14,455"
Longleng,50,ST,Longleng,S. Pangnyu,Naga Peoples Front,"22,855"
Noksen,51,ST,Tuensang,C.M. Chang,Naga Peoples Front,"12,074"
Longkhim Chare,52,ST,Tuensang,A.Imtilemba Sangtam,Nationalist Congress Party,"20,225"
Tuensang Sadar-I,53,ST,Tuensang,Shri Toyang Changkong Chang,Independent,"22,049"
Tuensang Sadar-Ii,54,ST,Tuensang,Kejong Chang,Naga Peoples Front,"19,463"
Tobu,55,ST,Mon,Naiba,Naga Peoples Front,"18,500"
Noklak,56,ST,Tuensang,P.Longon,Naga Peoples Front,"15,375"
Thonoknyu,57,ST,Tuensang,L.Khumo Khiamniungan,Nationalist Congress Party,"18,283"
Shamtorr-Chessore,58,ST,Tuensang,R. Tohanba,Naga Peoples Front,"17,582"
Siyuchong-Sitimi,59,ST,Kiphire,Shri. C. Kipili Sangtam,Naga Peoples Front,"22,132"
Pungro-Kiphire,60,ST,Kiphire,Torechu,Naga Peoples Front,"29,812"
